Epoch 1/100, train loss:0.639910, valid auc:0.61858, valid acc:0.61588, valid f1:0.74981
Epoch 2/100, train loss:0.881125, valid auc:0.61638, valid acc:0.57988, valid f1:0.71796
Epoch 3/100, train loss:0.739267, valid auc:0.62539, valid acc:0.58202, valid f1:0.71966
Epoch 4/100, train loss:0.688578, valid auc:0.63314, valid acc:0.58820, valid f1:0.72479
Epoch 5/100, train loss:0.626203, valid auc:0.65151, valid acc:0.59548, valid f1:0.73055
Epoch 6/100, train loss:0.584723, valid auc:0.67182, valid acc:0.59860, valid f1:0.73242
Epoch 7/100, train loss:0.558178, valid auc:0.68682, valid acc:0.60062, valid f1:0.73348
Epoch 8/100, train loss:0.545709, valid auc:0.69378, valid acc:0.60219, valid f1:0.73476
Epoch 9/100, train loss:0.540143, valid auc:0.69753, valid acc:0.59923, valid f1:0.73208
Epoch 10/100, train loss:0.542197, valid auc:0.69646, valid acc:0.59971, valid f1:0.73236
Epoch 11/100, train loss:0.531217, valid auc:0.70476, valid acc:0.60194, valid f1:0.73388
Epoch 12/100, train loss:0.521526, valid auc:0.70867, valid acc:0.60317, valid f1:0.73472
Epoch 13/100, train loss:0.513879, valid auc:0.71276, valid acc:0.60223, valid f1:0.73389
Epoch 14/100, train loss:0.507860, valid auc:0.71470, valid acc:0.60372, valid f1:0.73501
Epoch 15/100, train loss:0.503502, valid auc:0.71877, valid acc:0.60351, valid f1:0.73461
Epoch 16/100, train loss:0.501817, valid auc:0.71725, valid acc:0.60109, valid f1:0.73270
Epoch 17/100, train loss:0.499655, valid auc:0.71912, valid acc:0.60165, valid f1:0.73314
Epoch 18/100, train loss:0.499360, valid auc:0.72119, valid acc:0.60162, valid f1:0.73288
Epoch 19/100, train loss:0.498721, valid auc:0.72020, valid acc:0.60227, valid f1:0.73359
Epoch 20/100, train loss:0.497484, valid auc:0.72222, valid acc:0.60381, valid f1:0.73484
Epoch 21/100, train loss:0.502096, valid auc:0.71926, valid acc:0.60265, valid f1:0.73396
Epoch 22/100, train loss:0.497613, valid auc:0.72035, valid acc:0.60364, valid f1:0.73474
Epoch 23/100, train loss:0.494200, valid auc:0.72041, valid acc:0.60279, valid f1:0.73409
Epoch 24/100, train loss:0.490937, valid auc:0.72277, valid acc:0.60452, valid f1:0.73535
Epoch 25/100, train loss:0.488211, valid auc:0.72430, valid acc:0.60263, valid f1:0.73368
Epoch 26/100, train loss:0.485881, valid auc:0.72534, valid acc:0.60295, valid f1:0.73386
